originals	paraphrase_1	paraphrase_2	paraphrase_3	paraphrase_4
1 000				
Causation is a psychological tool of humans to understand the world independently of language, and it is one of the principles involved in the construction of the human mental model of reality (Neeleman and van de Koot, 2012).	According to Neeleman and van de Koot (2012), Causation serves as a psychological mechanism that enables humans to comprehend the world without relying on language, representing one of the foundational principles in how humans construct their mental representations of reality.	Humans employ Causation as a psychological instrument for world comprehension that operates beyond linguistic boundaries, forming a key principle in the development of human cognitive models of reality (Neeleman and van de Koot, 2012).	As Neeleman and van de Koot (2012) explain, Causation functions as a psychological device through which humans grasp reality without dependence on language, constituting a fundamental principle in the formation of human mental frameworks for understanding the world.	The psychological apparatus of Causation allows humans to make sense of their environment independently from language and represents a core principle underlying the creation of human cognitive representations of reality (Neeleman and van de Koot, 2012).
Causal reasoning is the process of relating two events, namely cause and its effect.	The process of connecting two events—a cause and its corresponding effect—is known as causal reasoning.	When we engage in causal reasoning, we establish relationships between two events: one that causes and another that represents the effect.	The practice of causal reasoning involves drawing connections between paired events, specifically identifying which serves as cause and which as effect.	By examining how two events relate to each other—one being the cause, the other the effect—we engage in what is called causal reasoning.
Following the words of Reinhart (2002), causal relations are imposed by humans on the input from the world, and the (computational) linguist’s task is to understand what is about language that enables speakers to use it to describe their causal perceptions.	According to Reinhart (2002), humans impose causal relations onto input they receive from the world, and it becomes the (computational) linguist's responsibility to comprehend what aspects of language allow speakers to employ it for describing their causal perceptions.	As Reinhart (2002) states, causal relations represent human impositions upon worldly input, with the (computational) linguist's duty being to grasp what linguistic features enable speakers to utilize language in describing their causal perceptions.	Reinhart (2002) argues that causal relations constitute human constructs placed upon input from the world, making it the (computational) linguist's job to determine what about language permits speakers to describe their causal perceptions through its use.	In line with Reinhart (2002), humans project causal relations onto input received from the world, and the (computational) linguist must identify what linguistic properties facilitate speakers' ability to describe their causal perceptions.
There are different theories concerning how natural language approximates causation.	Various theories exist regarding the ways in which natural language approaches causation.	Multiple theoretical frameworks address how causation is approximated through natural language.	The approximation of causation in natural language has been explained through several competing theories.	Scholars have proposed diverse theories about natural language's approximation of causation.
Those theories based on generative semantics argue that the causal relation is encoded in the semantics of some verbs (Lakoff, 1970; McCawley, 1976) or in the syntactic structure of a sentence (Dowty, 1979; Ramchand, 2008).				
For instance, Pylkkänen (2008) argues that the causing event may be associated with the subject of the causal verb in a causal predicate.				
"This principle is true in the sentence “Pe-
ter eventually killed John by hitting him with a hammer”, in which the event of Peter hitting John with a hammer caused the death of John."	"The sentence ""Peter eventually killed John by hitting him with a hammer"" demonstrates this principle, where John's death resulted from Peter's action of striking him with a hammer."	"This principle manifests in ""Peter eventually killed John by hitting him with a hammer"", since Peter's use of a hammer against John resulted in John's death."	"The validity of this principle appears in ""Peter eventually killed John by hitting him with a hammer"", wherein John died as a consequence of being struck by Peter's hammer."	"""Peter eventually killed John by hitting him with a hammer"" illustrates this principle through the causal relationship between Peter's hammer attack and John's subsequent death."
But, the following sentence can be used as a counterexample: “A hammer eventually killed John”.				
In the later sentence the subject of “killed” is the “hammer”, which does not constitute a causing event for the event “kill John”.				
Therefore, the syntaxgrounded construction of causality defined by those theories is far away from the human mental model of causation.	The causality construction grounded in syntax that these theories define is thus quite distant from how humans mentally conceptualize causation.	Consequently, human mental models of causation differ significantly from the syntaxgrounded causality construction that such theories establish.	As a result, there exists a substantial gap between the syntaxgrounded construction of causality outlined in these theories and the way causation is represented in human cognition.	The syntaxgrounded construction of causality established by such theories is, accordingly, considerably removed from the mental framework humans use to understand causation.
Indeed, Neeleman and van de Koot (2012) showed that the later approaches cannot be proven by standard syntactic tests, because neither the causing event nor causal relation correspond to a syntactic constituent.	Standard syntactic tests cannot prove the later approaches, as Neeleman and van de Koot (2012) demonstrated, since the causing event and causal relation both fail to correspond to syntactic constituents.	Neeleman and van de Koot (2012) established that standard syntactic tests are unable to validate the later approaches, given that syntactic constituents do not correspond to either the causing event or the causal relation.	The later approaches resist proof through standard syntactic tests, according to Neeleman and van de Koot (2012), due to the absence of syntactic constituent correspondence for both the causing event and causal relation.	As Neeleman and van de Koot (2012) revealed, standard syntactic testing fails to substantiate the later approaches because syntactic constituents lack correspondence with the causing event and causal relation alike.
Neeleman and van de Koot (2012) concluded that the linguistic approximation of causation by culmination of events is not exclusive of causal verbs, and it is also found in non-causative verb classes.	The conclusion drawn by Neeleman and van de Koot (2012) was that causal verbs are not the only verb class to exhibit the linguistic approximation of causation by culmination of events, as this phenomenon also appears in non-causative verb classes.	According to Neeleman and van de Koot (2012), the linguistic approximation of causation by culmination of events extends beyond causal verbs and can be observed in non-causative verb classes as well.	In their 2012 study, Neeleman and van de Koot determined that non-causative verb classes, like causal verbs, also demonstrate the linguistic approximation of causation by culmination of events.	Neeleman and van de Koot (2012) found that the linguistic approximation of causation by culmination of events is a phenomenon shared by both causal verbs and non-causative verb classes.
Causation or causality has also been studied in computational linguistics.	Computational linguistics has also examined causation or causality as a research area.	The field of computational linguistics has additionally investigated causation or causality.	Researchers in computational linguistics have likewise explored causation or causality.	Among the topics studied within computational linguistics is causation or causality.
There are some semantic and discourse resources that take into account causality in the range of linguistic phenomena that they annotate.	Certain semantic and discourse resources incorporate causality considerations when annotating their range of linguistic phenomena.	A number of resources focusing on semantics and discourse include causality as a factor in their linguistic phenomenon annotation processes.	Within the field of semantic and discourse annotation, several resources explicitly account for causality across the linguistic phenomena they examine.	Some resources dedicated to semantic and discourse analysis integrate causality into their annotation frameworks for various linguistic phenomena.
PropBank (Palmer et al., 2005) is a semantic resource that annotates the argument structure of verbs.				
The type of causation annotated in PropBank is related to the syntax and semantics of the verbs.	PropBank's annotated causation type connects to the syntactic and semantic properties of verbs.	The causation variety marked in PropBank has connections to verb syntax and semantics.	Verb syntax and semantics relate to the causation type that PropBank annotates.	In PropBank, the annotated causation type corresponds to syntactic and semantic aspects of verbs.
For the sentences John broke the window and “The hammer broke the window”, “John” and “the hammer” are the cause arguments of the verb “broke”.				
Although, “John” and “the hammer” are required arguments for the event expressed by “break”, they do not represent the causing event of the window breaking event.				
Causality is one of the discourse relations in Penn Discourse Tree Bank (PDTB) (Prasad et al., 2008).				
Causality is annotated in PDTB as either an explicit or an implicit relation between events.	In PDTB, causality receives annotation as a relation between events that can be either explicit or implicit.	The PDTB annotates causality as a relation connecting events, categorizing it as either explicit or implicit.	Within PDTB annotation schemes, causality appears as either an explicit or an implicit type of relation linking events.	PDTB treats causality as a relational concept between events, marking it with either explicit or implicit annotation.
When causality is explicit, it is signalled by a lexical marker such as because or since between others.	Lexical markers like because or since, among others, signal when causality is made explicit.	Explicit causality gets signalled through lexical markers such as because or since between others.	A lexical marker such as because or since between others serves to signal explicit causality.	Lexical markers—including because or since between others—are used to signal when causality is explicit.
"2
However, there are some scenarios where the causal discourse relation is not signalled by a known lexical marker, but by other expressions that are called Alternative Lexicalizations (AltLex)."	Nevertheless, certain situations exist where other expressions known as Alternative Lexicalizations (AltLex) signal the causal discourse relation instead of a recognized lexical marker.	Some cases occur, though, in which Alternative Lexicalizations (AltLex) - rather than familiar lexical markers - serve to indicate the causal discourse relation.	There are instances, however, when expressions termed Alternative Lexicalizations (AltLex) mark the causal discourse relation without using established lexical indicators.	Yet in particular circumstances, the causal discourse relation gets signaled not through recognized lexical markers but via other expressions designated as Alternative Lexicalizations (AltLex).
The existence of AltLex means that the expression of causality is not defined by a limited number of lexical constructions, so the coverage of the total number of possible causal expressions is restricted to the grade of coverage of the base corpus of PDTB.	Because AltLex exists, causality expression cannot be confined to a finite set of lexical constructions, which means the scope of all potential causal expressions is limited by how comprehensively the PDTB base corpus covers them.	AltLex's presence indicates that expressing causality isn't bounded by a restricted collection of lexical constructions, thus limiting the coverage of all conceivable causal expressions to what the PDTB base corpus encompasses.	Given that AltLex is present, causal relationships cannot be expressed through just a constrained group of lexical constructions, thereby constraining the range of every possible causal expression to the extent covered by the PDTB base corpus.	The fact that AltLex exists demonstrates that causality expression transcends a finite array of lexical constructions, resulting in the coverage of all potential causal expressions being bounded by the PDTB base corpus's scope.
The previous paragraphs and the works described in Section 2 show that causality is driven by a limited set of lexical elements and syntactic constructions.	A limited set of lexical elements and syntactic constructions drives causality, as demonstrated by the works described in Section 2 and the previous paragraphs.	The works outlined in Section 2, along with the preceding paragraphs, demonstrate that causality operates through a restricted collection of lexical elements and syntactic constructions.	As evidenced by both the foregoing paragraphs and the research presented in Section 2, causality functions via a constrained group of lexical elements and syntactic constructions.	Section 2's described works, together with the paragraphs that came before, establish that a confined set of lexical elements and syntactic constructions governs causality.
